Papel,SYNE3,Cotação,14.34,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,SYN PROP TEC ON NM,Min 52 sem,9.65,,
Setor,Exploração de Imóveis,Max 52 sem,14.34,,
Subsetor,Exploração de Imóveis,Vol $ méd (2m),9085110,,
Valor de mercado,2188910000,Últ balanço processado,30/09/2021,,
Valor da firma,3235580000,Nro. Ações,152644000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"2,06%",P/L,73.13,LPA,0.20
Mês,"15,18%",P/VP,1.33,VPA,10.82
30 dias,"2,58%",P/EBIT,8.84,Marg. Bruta,"60,5%"
12 meses,"7,71%",PSR,4.57,Marg. EBIT,"51,7%"
2021,"5,35%",P/Ativos,0.43,Marg. Líquida,"24,4%"
2020,"-42,32%",P/Cap. Giro,2.27,EBIT / Ativo,"4,8%"
2019,"192,07%",P/Ativ Circ Liq,-2.43,ROIC,"5,5%"
2018,"8,48%",Div. Yield,"7,0%",ROE,"1,8%"
2017,"26,90%",EV / EBITDA,10.13,Liquidez Corr,4.35
2016,"15,75%",EV / EBIT,13.06,Div Br/ Patrim,1.02
,,Cres. Rec (5a),"1,3%",Giro Ativos,0.09
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,5130060000,Dív. Bruta,1679520000,,
Disponibilidades,632853000,Dív. Líquida,1046670000,,
Ativo Circulante,1254080000,Patrim. Líq,1651660000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,478955000,Receita Líquida,124620000,,
EBIT,247682000,EBIT,69655000,,
Lucro Líquido,29931000,Lucro Líquido,9027000,,
