Papel,TELB3,Cotação,46.50,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,TELEBRAS ON,Min 52 sem,44.50,,
Setor,Telecomunicações,Max 52 sem,95.96,,
Subsetor,Telecomunicações,Vol $ méd (2m),35675,,
Valor de mercado,3155720000,Últ balanço processado,30/09/2021,,
Valor da firma,2439660000,Nro. Ações,67865000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"4,49%",P/L,-21.96,LPA,-2.12
Mês,"3,33%",P/VP,2.18,VPA,21.30
30 dias,"-1,08%",P/EBIT,-9.13,Marg. Bruta,"-91,9%"
12 meses,"-51,81%",PSR,11.78,Marg. EBIT,"-129,0%"
2021,"-47,22%",P/Ativos,0.78,Marg. Líquida,"-53,6%"
2020,"-12,77%",P/Cap. Giro,2.88,EBIT / Ativo,"-8,6%"
2019,"266,34%",P/Ativ Circ Liq,-2.51,ROIC,"-11,4%"
2018,"-26,28%",Div. Yield,"0,0%",ROE,"-9,9%"
2017,"54,93%",EV / EBITDA,-26.02,Liquidez Corr,5.93
2016,"-25,19%",EV / EBIT,-7.06,Div Br/ Patrim,0.16
,,Cres. Rec (5a),"70,1%",Giro Ativos,0.07
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,4020150000,Dív. Bruta,229422000,,
Disponibilidades,945480000,Dív. Líquida,-716058000,,
Ativo Circulante,1316270000,Patrim. Líq,1445520000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,267868000,Receita Líquida,65537000,,
EBIT,-345585000,EBIT,-89969000,,
Lucro Líquido,-143690000,Lucro Líquido,-49759000,,
