Papel,TRPL4,Cotação,24.30,,
Tipo,PN N1,Data últ cot,06/12/2021,,
Empresa,TRANSMISSÃO PAULISTA PN N1,Min 52 sem,21.19,,
Setor,Energia Elétrica,Max 52 sem,25.56,,
Subsetor,Energia Elétrica,Vol $ méd (2m),31671300,,
Valor de mercado,16010900000,Últ balanço processado,30/09/2021,,
Valor da firma,21207900000,Nro. Ações,658883000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,08%",P/L,4.27,LPA,5.69
Mês,"4,29%",P/VP,1.10,VPA,22.07
30 dias,"5,51%",P/EBIT,3.69,Marg. Bruta,"69,8%"
12 meses,"5,40%",PSR,3.64,Marg. EBIT,"98,7%"
2021,"-0,33%",P/Ativos,0.57,Marg. Líquida,"85,6%"
2020,"31,26%",P/Cap. Giro,7.38,EBIT / Ativo,"15,4%"
2019,"38,19%",P/Ativ Circ Liq,-1.68,ROIC,"16,1%"
2018,"22,95%",Div. Yield,"17,5%",ROE,"25,8%"
2017,"8,23%",EV / EBITDA,4.86,Liquidez Corr,2.38
2016,"50,12%",EV / EBIT,4.89,Div Br/ Patrim,0.44
,,Cres. Rec (5a),"15,7%",Giro Ativos,0.16
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,28193900000,Dív. Bruta,6404470000,,
Disponibilidades,1207460000,Dív. Líquida,5197020000,,
Ativo Circulante,3738590000,Patrim. Líq,14543000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,4398100000,Receita Líquida,1497670000,,
EBIT,4339520000,EBIT,1032060000,,
Lucro Líquido,3752300000,Lucro Líquido,723097000,,
