Papel,TTEN3,Cotação,7.53,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,3TENTOS ON NM,Min 52 sem,6.90,,
Setor,Agropecuária,Max 52 sem,12.15,,
Subsetor,Agricultura,Vol $ méd (2m),10372400,,
Valor de mercado,3720710000,Últ balanço processado,30/09/2021,,
Valor da firma,3292820000,Nro. Ações,494118000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,76%",P/L,0.00,LPA,0.00
Mês,"1,76%",P/VP,1.80,VPA,4.18
30 dias,"-19,29%",P/EBIT,-,Marg. Bruta,-
12 meses,"-37,77%",PSR,-,Marg. EBIT,-
2021,"-37,77%",P/Ativos,0.85,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,2.46,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,2.93,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,1.74
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.44
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,4353140000,Dív. Bruta,901874000,,
Disponibilidades,1329760000,Dív. Líquida,-427887000,,
Ativo Circulante,3555880000,Patrim. Líq,2065190000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,1729540000,,
EBIT,0,EBIT,103215000,,
Lucro Líquido,0,Lucro Líquido,97935000,,
