Papel,VBBR3,Cotação,22.20,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,VIBRA ON,Min 52 sem,17.53,,
Setor,"Petróleo, Gás e Biocombustíveis",Max 52 sem,29.13,,
Subsetor,"Exploração, Refino e Distribuição",Vol $ méd (2m),247776000,,
Valor de mercado,25863000000,Últ balanço processado,30/09/2021,,
Valor da firma,34621000000,Nro. Ações,1165000000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,45%",P/L,5.60,LPA,3.97
Mês,"2,02%",P/VP,2.29,VPA,9.69
30 dias,"-1,81%",P/EBIT,8.22,Marg. Bruta,"5,4%"
12 meses,"17,74%",PSR,0.22,Marg. EBIT,"2,7%"
2021,"8,71%",P/Ativos,0.87,Marg. Líquida,"4,0%"
2020,"-23,50%",P/Cap. Giro,2.84,EBIT / Ativo,"10,6%"
2019,"30,51%",P/Ativ Circ Liq,-8.42,ROIC,"12,8%"
2018,"59,12%",Div. Yield,"10,5%",ROE,"40,9%"
2017,"6,94%",EV / EBITDA,9.35,Liquidez Corr,2.49
2016,"0,00%",EV / EBIT,11.00,Div Br/ Patrim,0.96
,,Cres. Rec (5a),"3,9%",Giro Ativos,3.90
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,29562000000,Dív. Bruta,10788000000,,
Disponibilidades,2030000000,Dív. Líquida,8758000000,,
Ativo Circulante,15205000000,Patrim. Líq,11287000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,115144000000,Receita Líquida,35694000000,,
EBIT,3146000000,EBIT,667000000,,
Lucro Líquido,4620000000,Lucro Líquido,598000000,,
