Papel,VIVA3,Cotação,25.31,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,VIVARA S.A. ON NM,Min 52 sem,21.90,,
Setor,"Tecidos, Vestuário e Calçados",Max 52 sem,34.56,,
Subsetor,Acessórios,Vol $ méd (2m),26375200,,
Valor de mercado,5978170000,Últ balanço processado,30/09/2021,,
Valor da firma,5803300000,Nro. Ações,236198000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,14%",P/L,22.60,LPA,1.12
Mês,"3,26%",P/VP,4.45,VPA,5.69
30 dias,"-8,16%",P/EBIT,19.92,Marg. Bruta,"74,1%"
12 meses,"-3,62%",PSR,4.74,Marg. EBIT,"23,8%"
2021,"-13,90%",P/Ativos,2.52,Marg. Líquida,"21,0%"
2020,"1,48%",P/Cap. Giro,7.16,EBIT / Ativo,"12,7%"
2019,"21,37%",P/Ativ Circ Liq,15.96,ROIC,"17,6%"
2018,"0,00%",Div. Yield,"0,6%",ROE,"19,7%"
2017,"0,00%",EV / EBITDA,15.86,Liquidez Corr,2.48
2016,"0,00%",EV / EBIT,19.34,Div Br/ Patrim,0.22
,,Cres. Rec (5a),"27,0%",Giro Ativos,0.53
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,2368820000,Dív. Bruta,290905000,,
Disponibilidades,465779000,Dív. Líquida,-174873000,,
Ativo Circulante,1400600000,Patrim. Líq,1342840000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1262190000,Receita Líquida,337215000,,
EBIT,300094000,EBIT,66992200,,
Lucro Líquido,264544000,Lucro Líquido,86257700,,
