Papel,VIVT3,Cotação,49.96,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,TELEF BRASIL ON,Min 52 sem,40.50,,
Setor,Telecomunicações,Max 52 sem,53.00,,
Subsetor,Telecomunicações,Vol $ méd (2m),144736000,,
Valor de mercado,84481600000,Últ balanço processado,30/09/2021,,
Valor da firma,88461400000,Nro. Ações,1690980000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,28%",P/L,17.25,LPA,2.90
Mês,"-0,66%",P/VP,1.22,VPA,41.01
30 dias,"-0,70%",P/EBIT,15.55,Marg. Bruta,"45,0%"
12 meses,"21,78%",PSR,1.93,Marg. EBIT,"12,4%"
2021,"12,28%",P/Ativos,0.75,Marg. Líquida,"11,2%"
2020,"2,99%",P/Cap. Giro,57.87,EBIT / Ativo,"4,8%"
2019,"25,84%",P/Ativ Circ Liq,-4.19,ROIC,"5,6%"
2018,"8,82%",Div. Yield,"5,9%",ROE,"7,1%"
2017,"20,82%",EV / EBITDA,5.11,Liquidez Corr,1.07
2016,"24,91%",EV / EBIT,16.28,Div Br/ Patrim,0.18
,,Cres. Rec (5a),"0,3%",Giro Ativos,0.39
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,113253000000,Dív. Bruta,12707600000,,
Disponibilidades,8727810000,Dív. Líquida,3979750000,,
Ativo Circulante,23710200000,Patrim. Líq,69350500000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,43724500000,Receita Líquida,11033300000,,
EBIT,5432520000,EBIT,1299320000,,
Lucro Líquido,4897640000,Lucro Líquido,1317770000,,
