Papel,VVEO3,Cotação,17.75,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,VIVEO ON NM,Min 52 sem,16.36,,
Setor,Comércio e Distribuição,Max 52 sem,27.14,,
Subsetor,Medicamentos e Outros Produtos,Vol $ méd (2m),5054680,,
Valor de mercado,5078690000,Últ balanço processado,30/09/2021,,
Valor da firma,4940970000,Nro. Ações,286123000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-5,23%",P/L,0.00,LPA,0.00
Mês,"4,29%",P/VP,2.34,VPA,7.59
30 dias,"-11,03%",P/EBIT,-,Marg. Bruta,-
12 meses,"-18,58%",PSR,-,Marg. EBIT,-
2021,"-18,58%",P/Ativos,0.89,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,2.18,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,13.56,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,2.49
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.72
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,5691660000,Dív. Bruta,1569170000,,
Disponibilidades,1706890000,Dív. Líquida,-137720000,,
Ativo Circulante,3894190000,Patrim. Líq,2172080000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,1495760000,,
EBIT,0,EBIT,28319000,,
Lucro Líquido,0,Lucro Líquido,61255000,,
