Papel,WEGE3,Cotação,34.56,,
Tipo,ON N1,Data últ cot,07/12/2021,,
Empresa,WEG SA ON N1,Min 52 sem,31.12,,
Setor,Máquinas e Equipamentos,Max 52 sem,45.67,,
Subsetor,"Motores, Compressores e Outros",Vol $ méd (2m),269565000,,
Valor de mercado,145059000000,Últ balanço processado,30/09/2021,,
Valor da firma,143752000000,Nro. Ações,4197320000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"4,70%",P/L,42.00,LPA,0.82
Mês,"7,23%",P/VP,11.38,VPA,3.04
30 dias,"-8,28%",P/EBIT,34.13,Marg. Bruta,"30,8%"
12 meses,"-2,33%",PSR,6.62,Marg. EBIT,"19,4%"
2021,"-7,88%",P/Ativos,6.45,Marg. Líquida,"16,1%"
2020,"120,53%",P/Cap. Giro,20.12,EBIT / Ativo,"18,9%"
2019,"100,56%",P/Ativ Circ Liq,26.95,ROIC,"24,2%"
2018,"-3,84%",Div. Yield,"1,2%",ROE,"27,1%"
2017,"58,22%",EV / EBITDA,30.26,Liquidez Corr,1.96
2016,"8,70%",EV / EBIT,33.82,Div Br/ Patrim,0.13
,,Cres. Rec (5a),"23,1%",Giro Ativos,0.97
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,22500300000,Dív. Bruta,1635210000,,
Disponibilidades,2942360000,Dív. Líquida,-1307150000,,
Ativo Circulante,14743200000,Patrim. Líq,12750400000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,21913200000,Receita Líquida,6198240000,,
EBIT,4250130000,EBIT,1123210000,,
Lucro Líquido,3454120000,Lucro Líquido,812925000,,
